date,company,ticker,open,high,low,close,adj_close,volume,daily_return,peer_avg_return,abnormal_return,event_id,event_day,event0_date,group,member,event_category,event_subtype,event_title_en,start_date,peak_date,end_date,sentiment_expected,severity_score,duration_days,source_level,event_type_final
2024-02-26,HYBE,352820.KS,217500.0,219000.0,212000.0,217500.0,217005.9375,143790,0.0092807981006739,0.0024847637969679,0.006796034303705999,LESSERAFIM_20240219_SMART_MINOR_CONTROVERSY,5,2024-02-19,LE SSERAFIM,Eunchae,PR_crisis,minor_choreography_controversy,Smart choreography receives criticism over minor member concept,2024-02-19,2024-02-20,2024-03-04,negative,4.0,15,C_platform_data,negative_PR_crisis
2024-02-27,HYBE,352820.KS,212000.0,212500.0,200500.0,202000.0,201541.140625,558864,-0.0712643951274374,-0.03488357291350417,-0.03638082221393323,LESSERAFIM_20240219_SMART_MINOR_CONTROVERSY,6,2024-02-19,LE SSERAFIM,Eunchae,PR_crisis,minor_choreography_controversy,Smart choreography receives criticism over minor member concept,2024-02-19,2024-02-20,2024-03-04,negative,4.0,15,C_platform_data,negative_PR_crisis
2024-02-28,HYBE,352820.KS,202500.0,205000.0,200500.0,202000.0,201541.140625,165340,0.0,0.0168410880433853,-0.0168410880433853,LESSERAFIM_20240219_SMART_MINOR_CONTROVERSY,7,2024-02-19,LE SSERAFIM,Eunchae,PR_crisis,minor_choreography_controversy,Smart choreography receives criticism over minor member concept,2024-02-19,2024-02-20,2024-03-04,negative,4.0,15,C_platform_data,negative_PR_crisis
2024-02-29,HYBE,352820.KS,201000.0,201500.0,199000.0,199100.0,198647.71875,242405,-0.0143564825823016,-0.016596885919383336,0.002240403337081736,LESSERAFIM_20240219_SMART_MINOR_CONTROVERSY,8,2024-02-19,LE SSERAFIM,Eunchae,PR_crisis,minor_choreography_controversy,Smart choreography receives criticism over minor member concept,2024-02-19,2024-02-20,2024-03-04,negative,4.0,15,C_platform_data,negative_PR_crisis
2024-03-04,HYBE,352820.KS,199200.0,202000.0,192300.0,192700.0,192262.265625,365721,-0.0321446083810111,-0.026630747696362835,-0.0055138606846482675,LESSERAFIM_20240219_SMART_MINOR_CONTROVERSY,9,2024-02-19,LE SSERAFIM,Eunchae,PR_crisis,minor_choreography_controversy,Smart choreography receives criticism over minor member concept,2024-02-19,2024-02-20,2024-03-04,negative,4.0,15,C_platform_data,negative_PR_crisis
2024-03-05,HYBE,352820.KS,192700.0,193000.0,188000.0,188600.0,188171.578125,359160,-0.0212766009320763,-0.012965610999865235,-0.008310989932211067,LESSERAFIM_20240219_SMART_MINOR_CONTROVERSY,10,2024-02-19,LE SSERAFIM,Eunchae,PR_crisis,minor_choreography_controversy,Smart choreography receives criticism over minor member concept,2024-02-19,2024-02-20,2024-03-04,negative,4.0,15,C_platform_data,negative_PR_crisis
2024-03-29,HYBE,352820.KS,230500.0,233000.0,224000.0,230000.0,229477.546875,233449,0.0043668382080801,0.022502941008010233,-0.018136102799930134,LESSERAFIM_20240413_COACHELLA_CRITICISM,-10,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
2024-04-01,HYBE,352820.KS,233500.0,236000.0,223500.0,226500.0,225985.484375,249106,-0.0152174474041339,-0.0350713402171366,0.019853892813002698,LESSERAFIM_20240413_COACHELLA_CRITICISM,-9,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
2024-04-02,HYBE,352820.KS,223500.0,226000.0,216000.0,222500.0,221994.578125,271762,-0.0176600114871868,-0.022090002171438434,0.004429990684251633,LESSERAFIM_20240413_COACHELLA_CRITICISM,-8,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
2024-04-03,HYBE,352820.KS,220500.0,228500.0,220000.0,224000.0,223491.15625,184075,0.0067415075523029,0.003337035509637034,0.0034044720426658665,LESSERAFIM_20240413_COACHELLA_CRITICISM,-7,2024-04-15,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,2024-04-13,2024-04-15,2024-04-20,negative,4.0,8,B_korean_news,negative_PR_crisis
