date,company,ticker,open,high,low,close,adj_close,volume,daily_return
2021-04-28,SM,041510.KQ,30650.0,30950.0,30250.0,30350.0,28884.490234375,284017,-0.009787920248232274
2021-04-29,SM,041510.KQ,30500.0,30600.0,29900.0,30150.0,28694.1484375,164495,-0.006589757871110935
2021-04-30,SM,041510.KQ,30300.0,30450.0,29900.0,30200.0,28741.734375,148642,0.0016583847261977258
2021-05-03,SM,041510.KQ,30300.0,30500.0,29750.0,29800.0,28361.046875,262320,-0.01324511231761738
2021-05-04,SM,041510.KQ,29850.0,30100.0,28600.0,29550.0,28123.12109375,377955,-0.008389174853052794
2021-05-06,SM,041510.KQ,29600.0,30000.0,28750.0,30000.0,28551.392578125,188299,0.015228447900477837
2021-05-07,SM,041510.KQ,30100.0,32250.0,30050.0,32000.0,30454.81640625,1460815,0.06666658457785113
2021-05-10,SM,041510.KQ,32000.0,33050.0,31700.0,32600.0,31025.845703125,750024,0.01875004890056764
2021-05-11,SM,041510.KQ,32100.0,32450.0,31350.0,31650.0,30121.71484375,468655,-0.029141215618304073
2021-05-12,SM,041510.KQ,32000.0,33000.0,30900.0,31300.0,29788.6171875,824685,-0.011058389536514501
2021-05-13,SM,041510.KQ,31100.0,32000.0,30950.0,31000.0,29503.103515625,444026,-0.009584656786109869
2021-05-14,SM,041510.KQ,31300.0,33550.0,30800.0,33450.0,31834.802734375,1285279,0.07903233697143497
2021-05-17,SM,041510.KQ,33900.0,35950.0,33400.0,35950.0,34214.0859375,2250251,0.07473843086063381
2021-05-18,SM,041510.KQ,37350.0,38850.0,36700.0,38400.0,36545.78125,3183076,0.06815015653960144
2021-05-20,SM,041510.KQ,38450.0,39800.0,37650.0,39000.0,37116.80859375,1455241,0.015624986639189764
2021-05-21,SM,041510.KQ,38700.0,40400.0,38550.0,40000.0,38068.5234375,1357648,0.025641074214291626
2021-05-24,SM,041510.KQ,39900.0,41550.0,39200.0,40100.0,38163.69140625,932631,0.002499912267578397
2021-05-25,SM,041510.KQ,39850.0,42900.0,39800.0,42700.0,40638.15234375,1209890,0.06483809207970803
2021-05-26,SM,041510.KQ,43050.0,43900.0,40300.0,42250.0,40209.875,1776535,-0.010538799602090365
2021-05-27,SM,041510.KQ,42250.0,43500.0,39700.0,42450.0,40400.21484375,3256696,0.004733659175762073
2021-05-28,SM,041510.KQ,42050.0,45000.0,41450.0,42700.0,40638.15234375,1923732,0.005889510759292671
2021-05-31,SM,041510.KQ,42250.0,44550.0,41900.0,43700.0,41589.859375,927055,0.023419052697073894
2021-06-01,SM,041510.KQ,43700.0,44800.0,43100.0,44300.0,42160.88671875,785218,0.013729965725569393
2021-06-02,SM,041510.KQ,44600.0,45200.0,44100.0,44400.0,42256.0625,489846,0.0022574425885515392
2021-06-03,SM,041510.KQ,44550.0,47400.0,44100.0,47000.0,44730.5078125,910895,0.058558350355052635
2021-06-04,SM,041510.KQ,46950.0,47050.0,43250.0,43750.0,41637.4453125,1723243,-0.06914883490626589
2021-06-07,SM,041510.KQ,44500.0,46450.0,44250.0,45950.0,43731.21484375,1124451,0.05028573476436193
2021-06-08,SM,041510.KQ,45000.0,45850.0,42900.0,43350.0,41256.76171875,1490639,-0.05658322399323068
2021-06-09,SM,041510.KQ,43500.0,45000.0,43250.0,44350.0,42208.4765625,1206024,0.02306809366760043
2021-06-10,SM,041510.KQ,44500.0,45500.0,43500.0,44800.0,42636.74609375,1128100,0.010146528994379622
2021-06-11,SM,041510.KQ,45100.0,47950.0,45000.0,47950.0,45634.63671875,1151676,0.07031236901634608
2021-06-14,SM,041510.KQ,48650.0,50800.0,46850.0,47100.0,44825.68359375,1479065,-0.01772673528630553
2021-06-15,SM,041510.KQ,48550.0,53300.0,48250.0,51000.0,48537.36328125,2648245,0.08280252279337286
